Year,NOC,Sport,Medal_Count,Num_Events,Residuals
1896,AUS,Athletics,3,12.0,-3.5117174558181734
1896,AUS,Tennis,2,2.0,-0.06642299747004898
1896,AUT,Cycling,4,1.0,5.2571519105693305
1896,AUT,Cycling,4,5.0,3.956840542617959
1896,AUT,Fencing,1,3.0,2.2695066382810696
1896,DEN,Athletics,4,12.0,3.620450679766752
1896,DEN,Fencing,1,3.0,0.8074782253873802
1896,DEN,Gymnastics,1,8.0,-21.645687482100932
1896,DEN,Shooting,7,5.0,8.698722765088437
1896,DEN,Weightlifting,2,2.0,8.993691162363188
1896,FRA,Athletics,12,12.0,0.4922180696529246
1896,FRA,Cycling,7,1.0,-4.333109112438187
1896,FRA,Cycling,7,5.0,-5.63342048038956
1896,FRA,Fencing,4,3.0,-7.320754384726449
1896,FRA,Gymnastics,1,8.0,-32.77392009221475
1896,FRA,Shooting,1,5.0,-8.429509845025393
1896,FRA,Tennis,1,2.0,-6.062487471998953
1896,GBR,Athletics,7,12.0,-4.205378557586863
1896,GBR,Cycling,5,1.0,-6.030705739677975
1896,GBR,Cycling,5,5.0,-7.331017107629346
1896,GBR,Gymnastics,1,8.0,-32.47151671945455
1896,GBR,Shooting,5,5.0,-4.127106472265178
1896,GBR,Tennis,4,2.0,-2.760084099238739
1896,GBR,Weightlifting,2,2.0,-1.832138074990429
1896,GBR,Wrestling,1,1.0,-4.72483490584822
1896,GER,Athletics,14,12.0,2.6087828687783876
1896,GER,Cycling,10,1.0,-1.216544313312724
1896,GER,Cycling,10,5.0,-2.516855681264097
1896,GER,Gymnastics,66,8.0,32.342644706910704
1896,GER,Tennis,2,2.0,-4.94592267287349
1896,GER,Weightlifting,1,2.0,-3.017976648625181
1896,GER,Wrestling,1,1.0,-4.91067347948297
1896,GRE,Athletics,36,12.0,37.208644993519044
1896,GRE,Cycling,15,1.0,16.38331781142793
1896,GRE,Cycling,15,5.0,15.08300644347656
1896,GRE,Fencing,9,3.0,10.395672539139671
1896,GRE,Gymnastics,12,8.0,-9.057493168348643
1896,GRE,Shooting,46,5.0,49.28691707884073
1896,GRE,Tennis,13,2.0,18.653939451867167
1896,GRE,Weightlifting,4,2.0,12.581885476115476
1896,GRE,Wrestling,2,1.0,8.689188645257685
1896,HUN,Athletics,5,12.0,1.058639957619146
1896,HUN,Gymnastics,8,8.0,-18.207498204248537
1896,HUN,Tennis,1,2.0,1.5039344159672705
1896,HUN,Weightlifting,1,2.0,4.43188044021558
1896,HUN,Wrestling,1,1.0,2.5391836093577895
1896,ITA,Shooting,1,5.0,-4.365799102700228
1896,SUI,Gymnastics,7,8.0,-16.501730156350735
1896,SUI,Shooting,1,5.0,1.8426800908386358
1896,SWE,Athletics,4,12.0,1.2738212970489258
1896,SWE,Gymnastics,1,8.0,-23.992316864818758
1896,USA,Athletics,21,12.0,3.467074692712046
1896,USA,Shooting,4,5.0,-11.454653221966272
1900,ARG,Fencing,1,7.0,-8.938538744424482
1900,AUS,Athletics,4,23.0,-16.041660900258954
1900,AUT,Athletics,3,23.0,-9.44746435178034
1900,AUT,Fencing,8,7.0,-1.9848919122448123
1900,BEL,Archery,8,7.0,1.908407636399306
1900,BEL,Cycling,1,3.0,-8.86736026578832
1900,BEL,Fencing,6,7.0,-4.505161222052266
1900,BEL,Football,9,1.0,-5.827883173530905
1900,BEL,Gymnastics,2,1.0,-27.38247066767431
1900,BEL,Rowing,11,5.0,2.4992560743505976
1900,BEL,Shooting,36,8.0,27.71116115963663
1900,BOH,Athletics,5,23.0,1.5216399240152274
1900,BOH,Cycling,1,3.0,0.6220133198147015
1900,BOH,Gymnastics,1,1.0,-18.893097082071286
1900,BOH,Tennis,2,4.0,5.892634960253937
1900,BRA,Athletics,3,23.0,-12.28629785526261
1900,CAN,Athletics,7,23.0,-12.667352442252671
1900,CUB,Fencing,2,7.0,-9.784579156361769
1900,DEN,Athletics,6,23.0,-7.909492764674031
1900,DEN,Fencing,1,7.0,-10.446920325138501
1900,DEN,Shooting,25,8.0,15.769402056550398
1900,ESP,Basque Pelota,2,1.0,6.021849685566849e-13
1900,ESP,Fencing,3,7.0,-13.030502133844358
1900,ESP,Rowing,6,5.0,-8.026084837441493
1900,FRA,Archery,18,7.0,-0.1615840768007608
1900,FRA,Athletics,29,23.0,3.9622746252121424
1900,FRA,Cricket,3,1.0,-9.151201686381379
1900,FRA,Croquet,19,3.0,4.1744385725905886e-12
1900,FRA,Cycling,71,3.0,49.06264802101161
1900,FRA,Fencing,253,7.0,230.42484706474767
1900,FRA,Football,13,1.0,-13.897874886730968
1900,FRA,Golf,7,2.0,-9.222322505472707
1900,FRA,Gymnastics,108,1.0,66.54753761912563
1900,FRA,Polo,8,1.0,0.9264027523947647
1900,FRA,Rowing,59,5.0,38.42926436115053
1900,FRA,Rugby,15,1.0,1.244760909180446
1900,FRA,Sailing,227,13.0,206.2272949737671
1900,FRA,Shooting,62,8.0,41.641169446436564
1900,FRA,Tennis,19,4.0,1.3332696614508528
1900,GBR,Athletics,19,23.0,-5.735322002027644
1900,GBR,Cricket,21,1.0,9.151201686378833
1900,GBR,Cycling,2,3.0,-19.63494860622817
1900,GBR,Fencing,3,7.0,-19.272749562492116
1900,GBR,Football,12,1.0,-14.595471513970757
1900,GBR,Golf,5,2.0,-10.919919132712492
1900,GBR,Gymnastics,4,1.0,-37.150059008114155
1900,GBR,Polo,6,1.0,-0.7711938748450224
1900,GBR,Rowing,1,5.0,-19.268332266089253
1900,GBR,Rugby,15,1.0,1.5471642819406597
1900,GBR,Sailing,19,13.0,-1.470301653472685
1900,GBR,Shooting,1,8.0,-19.05642718080322
1900,GBR,Tennis,16,4.0,-1.364326965788937
1900,GER,Athletics,10,23.0,-14.921160575662395
1900,GER,Cycling,5,3.0,-16.820787179862922
1900,GER,Fencing,1,7.0,-21.45858813612687
1900,GER,Gymnastics,14,1.0,-27.33589758174891
1900,GER,Rowing,30,5.0,9.545829160275993
1900,GER,Rugby,15,1.0,1.361325708305909
1900,GER,Sailing,12,13.0,-8.656140227107436
1900,GRE,Athletics,3,23.0,-9.321298450921741
1900,GRE,Golf,1,2.0,-2.5058955816065875
1900,HAI,Fencing,3,7.0,-0.9458646091412479
1900,HAI,Rugby,1,1.0,5.874049235291531
1900,HUN,Athletics,21,23.0,3.528696513178364
1900,HUN,Fencing,8,7.0,-7.008731047286108
1900,HUN,Gymnastics,2,1.0,-31.88604049290815
1900,IND,Athletics,5,23.0,-6.877383072902607
1900,IRI,Fencing,1,7.0,-8.85484456205666
1900,ITA,Athletics,3,23.0,-17.974014632462698
1900,ITA,Cycling,10,3.0,-7.873641236663222
1900,ITA,Fencing,14,7.0,-4.51144219292717
1900,ITA,Gymnastics,1,1.0,-36.38875163854921
1900,LUX,Athletics,1,23.0,-7.736582119894933
1900,MEX,Polo,3,1.0,9.535978960332429
1900,NED,Archery,6,7.0,-3.7273897516154513
1900,NED,Fencing,1,7.0,-13.140958610067024
1900,NED,Football,1,1.0,-17.46368056154566
1900,NED,Rowing,17,5.0,4.863458686335839
1900,NED,Sailing,9,13.0,-3.3385107010475927
1900,NED,Shooting,35,8.0,23.075363771621877
1900,NOR,Athletics,4,23.0,-7.794700111835594
1900,NOR,Shooting,25,8.0,17.884194709388836
1900,PER,Fencing,2,7.0,-4.039863546919209
1900,ROU,Shooting,1,8.0,-13.206785262726724
1900,RUS,Fencing,2,7.0,-22.632589101495924
1900,SUI,Fencing,4,7.0,-8.302962999388305
1900,SUI,Gymnastics,3,1.0,-28.180272445010345
1900,SUI,Sailing,9,13.0,-1.5005150903688715
1900,SUI,Shooting,36,8.0,25.913359382300598
1900,SWE,Athletics,20,23.0,3.7438778526081435
1900,SWE,Fencing,1,7.0,-12.793549707856329
1900,USA,Athletics,91,23.0,59.937131248271264
1900,USA,Cycling,2,3.0,-25.962495355929263
1900,USA,Fencing,3,7.0,-25.60029631219321
1900,USA,Golf,9,2.0,-13.247465882413586
1900,USA,Polo,4,1.0,-9.098740624546114
1900,USA,Rowing,9,5.0,-17.595879015790345
1900,USA,Rugby,1,1.0,-18.78038246776043
1900,USA,Sailing,4,13.0,-22.79784840317378
1900,USA,Tennis,10,4.0,-13.691873715490026
1904,AUS,Athletics,2,25.0,-25.565494023719946
1904,AUT,Gymnastics,4,11.0,-34.98665721723059
1904,CAN,Athletics,10,25.0,-17.191185565713663
1904,CAN,Football,13,1.0,-15.401179393681087
1904,CAN,Golf,3,2.0,-14.725627012422827
1904,CAN,Lacrosse,24,1.0,12.026297526135933
1904,CAN,Rowing,9,5.0,-13.074040145799586
1904,CAN,Wrestling,2,7.0,-17.435097020060123
1904,CUB,Athletics,1,25.0,-20.770984719358292
1904,CUB,Fencing,5,5.0,-13.008100911871388
1904,FRA,Athletics,2,25.0,-30.561558498248857
1904,GBR,Athletics,3,25.0,-29.259155125488633
1904,GBR,Fencing,1,5.0,-27.49627131800174
1904,GBR,Golf,2,2.0,-20.7935965721978
1904,GER,Athletics,5,25.0,-27.444993699123387
1904,GER,Fencing,2,5.0,-26.682109891636486
1904,GER,Gymnastics,28,11.0,-23.460353441112645
1904,GER,Tennis,2,2.0,-21.773687294933307
1904,GER,Weightlifting,2,2.0,-18.84574127068499
1904,GER,Wrestling,3,7.0,-21.688905153469843
1904,GRE,Athletics,11,25.0,-8.845131574382734
1904,GRE,Weightlifting,1,2.0,-7.2458791459443415
1904,HUN,Athletics,5,25.0,-19.99513661028263
